"brt_1","brt_2","brt_3","brt_4","pps_1","pps_2","pps_3","pps_4","pps_5","pps_6","ppa_7","ppa_8","ppa_9","ppa_10","ppa_11","ppa_12","ppr_13","ppr_14","ppr_15","ppr_16","ppr_17","ppr_18","sec_1","sec_2","sec_3","sec_4","wlb_1","wlb_2","wlb_3","wlb_4","wld_1","wld_2","wld_3","wld_4","scs_1","scs_2","scs_3","scc_1","scc_2","scc_3","opp_1","opp_2","opp_3","qrp_1","qrp_2","qrp_3","qrp_4","qrp_5","qrp_6","qrp_7","qrp_8","inf_1","inf_2","inf_3","inf_4","inf_5","inf_6","mng_1","mng_2","rla_1","rla_2","rla_3","rla_4","rla_5","rla_6","rlc_1","rlc_2","rlc_3","rlc_4","rlc_5","rlc_6","pay_1","pay_2","tol_1","tol_2","gnl_1","gnl_2","gender_num","title_num","discipline_num","last_published_num","academia_length_num","phd_dissertation_num",".imp",".id"
4,2,3,3,2,3,2,2,2,4,3,3,5,4,5,5,5,5,5,4,3,4,2,2,1,2,2,4,3,2,4,3,3,3,5,5,3,5,5,3,4,4,4,1,1,2,1,2,1,1,2,3,4,4,4,4,4,4,4,5,6,5,3,4,4,2,2,2,2,2,2,3,3,3,6,5,5,2,1,0,1,2,1,1,17
4,5,4,4,4,4,4,5,2,1,4,4,4,2,4,2,3,4,3,3,2,4,2,4,3,2,1,5,1,2,4,4,4,1,2,2,2,3,4,4,3,3,3,3,3,4,5,4,3,3,3,4,4,4,4,4,4,3,4,3,3,6,3,5,7,7,1,6,1,2,7,6,6,4,5,4,3,1,1,0,3,2,2,1,18
5,5,5,5,4,2,4,5,3,2,2,5,5,5,1,5,4,4,1,2,3,2,4,3,2,4,2,3,2,2,4,4,4,4,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,3,7,5,6,6,6,6,4,2,6,2,6,4,4,3,1,1,1,2,0,1,3,1,0,1,19
4,4,2,3,4,4,5,4,2,4,4,4,4,5,4,4,2,3,4,3,4,4,5,5,5,5,4,4,3,4,3,4,3,4,3,1,1,1,3,2,2,4,2,1,1,1,2,1,1,1,1,4,4,3,3,4,4,4,4,5,3,3,4,4,5,5,5,5,5,4,6,2,2,3,3,6,6,2,5,1,1,4,0,1,20
3,4,3,4,4,4,5,4,3,3,3,4,4,5,3,4,3,4,4,3,3,3,2,2,2,2,3,5,4,4,5,4,4,3,3,3,3,4,4,3,5,4,4,2,1,1,2,3,2,2,1,4,4,3,4,3,5,3,3,7,6,7,7,6,6,6,7,6,7,3,2,5,6,2,3,3,3,1,2,0,2,4,0,1,21
1,1,1,1,1,2,1,1,1,1,1,4,4,1,5,2,5,5,5,5,5,4,5,5,5,5,1,1,1,1,2,2,2,2,5,5,4,5,5,5,4,4,4,1,1,1,1,2,1,1,1,5,5,5,5,5,5,4,3,2,2,2,1,1,1,1,2,4,3,2,1,1,1,3,7,3,3,1,5,1,1,4,0,1,22
3,1,1,3,2,3,2,1,2,2,3,3,3,4,2,4,4,4,4,4,4,4,3,1,2,4,1,1,1,1,3,2,2,2,4,3,3,3,4,2,4,4,4,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,3,5,3,4,5,5,3,3,5,1,6,6,6,6,5,5,2,1,0,1,2,2,1,23
3,2,2,3,2,4,5,4,3,4,2,3,4,3,2,3,4,4,5,5,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,5,4,5,1,2,1,2,5,3,5,1,4,4,3,4,3,4,5,4,6,6,6,6,5,5,6,5,5,5,5,2,4,3,3,6,4,3,2,2,0,1,4,0,1,24
4,3,3,3,4,1,4,4,3,5,3,4,3,5,3,5,3,4,4,4,4,4,4,5,2,4,4,4,4,4,3,1,2,4,1,1,1,2,3,2,2,3,3,3,4,1,3,2,1,2,1,4,4,2,4,4,4,4,4,6,6,5,6,2,2,4,4,3,3,6,5,5,5,5,4,6,5,2,4,1,1,4,0,1,25
2,1,1,2,1,2,2,1,2,4,3,2,1,2,2,3,5,5,4,5,3,5,5,4,5,5,1,1,2,1,3,3,3,2,4,5,4,4,4,4,4,5,4,1,1,1,3,1,1,3,3,4,3,3,4,4,4,5,5,2,2,2,2,1,1,2,4,2,2,1,1,6,6,5,5,5,5,2,2,1,3,3,0,1,26
3,1,2,4,2,1,4,1,2,2,5,5,5,1,4,5,5,4,5,3,5,4,4,4,2,3,4,4,4,3,4,4,4,4,4,2,2,4,5,3,5,5,5,1,1,1,1,4,1,1,1,4,4,3,4,3,5,5,5,1,1,2,4,1,1,6,5,7,6,5,4,7,7,6,6,6,6,2,0,0,1,2,0,1,27
3,2,2,4,3,5,5,4,5,5,3,3,3,4,5,3,4,4,4,4,3,4,2,1,1,2,4,4,4,4,3,4,4,4,2,4,3,3,3,3,3,3,3,1,1,2,1,2,1,1,1,3,3,3,3,3,3,3,3,3,5,5,5,2,2,3,6,5,5,5,3,3,3,2,2,3,3,1,2,0,1,4,0,1,28
5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,2,1,1,1,1,1,1,5,5,1,5,5,5,5,5,1,2,1,1,5,4,1,4,5,4,4,4,2,4,1,2,3,3,1,1,1,1,1,3,3,7,2,6,7,7,7,7,7,6,7,7,7,1,1,1,1,5,5,2,3,1,2,3,0,1,29
2,2,2,3,2,4,5,2,2,4,4,2,2,3,2,2,4,4,3,4,4,2,5,4,2,5,3,4,4,3,3,4,4,4,5,5,4,5,5,5,5,4,5,1,4,1,1,4,1,1,1,4,4,3,4,4,4,4,4,2,6,5,6,3,5,5,5,6,6,6,5,4,5,4,5,6,6,2,2,0,2,3,0,1,30
4,3,4,3,3,4,5,4,4,4,2,4,4,4,4,4,2,4,4,4,2,3,4,4,4,4,5,5,5,5,5,4,4,4,3,3,2,4,5,5,3,4,3,1,1,1,1,3,1,1,1,4,4,3,3,3,4,4,4,6,6,6,6,3,4,6,6,6,6,6,4,5,5,7,7,7,7,1,3,0,1,3,0,1,31
3,2,2,2,4,1,2,2,1,4,3,4,4,3,4,2,3,4,3,4,4,3,1,1,3,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,4,3,2,2,2,4,1,1,2,2,4,2,3,4,4,3,4,3,2,2,2,1,1,1,5,4,3,6,5,5,5,5,5,5,6,5,2,2,1,1,2,0,1,32
4,3,3,4,3,4,3,2,3,4,5,4,5,4,4,5,4,5,3,4,4,3,4,4,3,4,2,2,2,2,4,3,3,2,5,5,3,4,4,2,4,4,4,3,2,2,3,2,1,1,1,4,3,3,4,3,4,4,3,4,2,5,5,2,6,2,4,7,4,4,4,2,2,1,6,5,4,2,0,0,1,4,0,1,33
2,1,2,1,1,1,2,1,2,2,3,2,2,3,5,4,3,4,4,4,5,4,5,5,5,5,2,3,2,4,3,3,2,2,3,2,2,4,4,2,5,5,5,5,1,1,3,1,1,1,4,5,5,4,4,4,4,4,5,2,2,2,2,1,7,3,5,5,5,5,2,5,5,2,4,5,5,2,4,0,1,4,0,1,34
2,2,2,2,2,3,3,2,2,2,3,4,3,3,3,4,4,5,5,3,5,5,5,4,5,5,1,2,1,1,3,2,2,2,4,4,3,4,4,3,4,4,4,1,1,2,1,3,1,1,1,4,4,4,4,4,4,4,5,2,2,2,2,1,1,4,4,5,4,4,2,7,7,4,7,7,7,2,5,1,1,4,0,1,35
4,2,1,3,2,5,5,2,3,4,3,4,4,3,2,2,5,5,5,3,4,5,5,5,2,5,3,5,2,3,5,5,5,5,4,2,2,5,5,2,5,5,5,2,1,1,5,4,1,1,2,5,5,5,5,5,5,5,5,7,5,7,7,4,3,7,7,7,7,7,5,6,6,4,7,7,7,1,5,1,1,4,0,1,36
2,3,3,2,2,5,4,1,3,2,4,5,5,4,4,4,1,2,4,3,5,3,4,3,4,4,4,5,3,2,4,3,3,3,2,2,1,2,5,2,4,5,4,1,1,1,1,2,1,1,1,5,4,3,4,4,5,4,4,7,5,6,7,4,4,6,6,7,6,7,7,5,5,1,6,6,6,2,4,0,1,3,0,1,37
4,3,2,2,3,2,3,2,2,4,4,2,2,2,3,3,3,4,5,4,4,4,4,4,1,3,2,2,2,2,3,4,4,3,3,3,3,4,4,3,4,5,4,3,1,1,2,5,1,4,4,5,5,4,5,5,5,4,4,2,1,1,4,2,2,6,4,6,4,2,2,5,5,3,5,5,5,2,3,0,1,3,0,1,38
3,2,2,2,3,5,4,3,2,3,4,4,4,5,2,4,4,4,3,3,4,2,5,4,4,4,3,3,2,2,3,3,2,2,4,4,4,3,3,3,5,5,5,1,1,1,2,1,1,1,1,3,3,2,3,4,4,4,4,2,2,5,2,1,1,3,5,3,6,7,1,3,3,2,3,4,4,2,5,1,1,2,0,1,39
3,2,2,3,3,4,5,3,4,3,4,4,4,4,3,4,3,4,4,4,3,3,4,3,2,4,2,3,2,2,4,2,4,2,3,3,2,4,4,4,5,5,5,1,1,2,1,2,1,2,1,4,3,3,4,3,4,4,3,5,4,4,5,5,5,6,3,6,3,4,3,4,4,3,4,5,4,2,3,1,2,4,0,1,40
2,1,2,2,3,5,4,1,4,4,1,3,4,4,1,4,5,4,5,4,5,2,5,5,1,5,1,2,2,2,3,2,3,3,4,2,2,4,4,2,4,5,4,1,3,2,1,3,1,1,3,4,3,3,5,4,4,5,5,2,4,1,2,1,1,2,7,6,1,2,1,6,6,6,6,5,6,2,4,0,2,4,0,1,41
3,3,2,3,4,4,5,4,4,2,3,4,4,5,3,4,5,5,3,3,2,4,2,2,1,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,3,1,1,1,3,4,1,1,1,3,4,3,3,3,4,3,3,5,4,6,3,2,5,5,6,4,2,4,4,5,5,2,2,5,5,1,2,1,1,4,0,1,42
2,1,2,2,1,2,2,1,1,1,3,3,4,2,1,4,5,5,5,4,4,5,5,5,5,5,1,2,2,1,3,4,3,2,5,5,3,5,4,4,5,5,5,1,1,3,5,2,2,1,1,5,5,4,5,4,5,5,4,3,3,6,6,1,1,2,2,6,6,2,1,7,7,2,6,6,6,1,5,1,1,4,0,1,43
3,2,2,2,4,4,5,4,4,2,5,5,4,4,1,4,2,2,1,2,2,3,5,4,4,5,3,4,2,2,4,2,4,4,2,1,1,2,2,2,4,4,5,4,4,2,1,4,4,4,1,1,2,3,3,2,2,5,5,3,2,2,3,2,2,6,1,5,3,5,6,2,2,2,2,6,6,1,5,0,1,4,0,1,44
3,2,2,3,2,4,4,3,2,4,3,3,3,2,3,2,4,5,5,4,5,4,5,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,5,3,5,5,5,1,1,1,1,2,1,1,1,4,4,3,4,4,4,4,4,5,4,5,6,3,5,6,5,7,3,3,4,6,6,4,6,4,4,2,5,0,2,4,0,1,45
4,2,3,4,2,5,5,4,4,4,3,5,5,5,5,5,4,4,4,4,2,3,3,2,2,2,5,4,5,5,3,4,4,4,4,3,4,3,4,3,4,4,4,1,1,1,3,2,2,1,1,4,4,3,4,2,4,4,4,2,2,2,3,2,2,5,4,5,5,2,2,6,6,6,5,5,5,1,0,1,1,3,0,1,46
4,3,3,2,3,4,4,3,3,5,4,3,4,4,2,3,3,3,4,4,3,3,5,4,4,5,2,4,4,4,3,4,3,3,2,1,1,2,2,1,3,4,3,1,3,3,3,4,3,1,2,4,2,4,4,3,4,4,3,3,3,3,3,2,2,2,4,4,3,2,2,5,4,2,4,5,5,2,4,1,1,4,0,1,47
4,4,4,4,2,4,5,5,4,5,5,5,5,5,3,4,4,4,4,4,4,2,4,3,3,4,3,4,3,3,5,5,4,5,1,1,1,4,2,1,5,5,5,1,1,1,3,1,1,3,2,4,5,3,4,4,5,4,2,7,7,6,7,6,7,6,6,7,6,6,4,6,6,5,5,4,4,1,5,0,1,4,0,1,48
3,3,1,4,4,3,4,2,3,2,2,3,4,2,2,4,4,4,4,4,4,4,5,4,4,5,1,1,1,1,3,3,3,2,5,5,3,5,5,2,4,5,4,1,1,1,1,5,1,4,2,4,4,3,4,4,5,4,4,1,2,2,2,1,1,2,5,6,6,5,1,6,6,6,6,5,5,2,4,0,1,4,0,1,49
4,3,2,3,4,4,4,4,4,4,4,3,3,4,3,4,3,3,5,5,3,3,4,4,1,3,4,4,4,4,5,5,5,4,3,3,2,3,3,2,4,4,3,5,1,1,3,4,1,3,3,4,4,4,4,3,4,3,3,4,3,4,4,2,2,3,5,5,6,2,2,6,3,2,2,6,5,2,4,1,1,4,0,1,50
4,3,2,3,3,2,5,3,4,4,3,2,1,1,3,1,4,5,5,5,5,5,3,2,2,3,5,5,5,5,5,5,5,4,3,3,3,4,5,4,4,5,3,5,1,1,1,3,2,2,1,4,4,3,4,3,4,5,5,3,5,6,6,4,1,7,5,7,6,5,5,5,5,2,3,7,7,2,4,1,1,4,0,1,51
3,2,2,4,3,5,5,4,2,4,1,2,2,1,2,2,3,5,5,4,5,5,5,5,5,5,4,4,4,4,3,5,5,5,5,5,3,4,5,3,5,5,5,1,1,1,1,3,1,2,1,5,5,3,5,3,5,4,4,5,2,2,2,1,1,7,4,7,6,4,3,7,7,6,7,4,4,2,5,0,1,4,0,1,52
3,1,1,2,2,4,3,1,2,2,2,3,4,3,2,3,3,5,5,4,4,4,5,5,5,5,4,4,3,4,3,2,1,2,5,5,5,3,3,3,4,5,5,1,1,1,3,4,1,1,2,4,4,4,4,4,4,5,5,2,3,2,3,2,2,2,3,3,6,3,2,6,4,6,6,7,6,1,3,0,1,3,0,1,53
4,2,2,4,4,4,4,3,2,3,2,4,4,4,3,3,4,5,5,4,3,4,5,5,4,5,3,4,4,4,4,4,4,4,4,2,1,4,4,2,4,3,3,2,1,2,3,3,2,3,3,4,5,3,3,3,4,4,3,5,4,5,3,5,5,5,4,6,5,5,4,3,2,2,3,4,3,2,5,1,2,4,0,1,54
2,1,1,2,1,1,3,2,3,2,1,2,3,2,1,4,5,5,5,5,5,5,5,5,5,5,1,2,2,1,2,3,2,2,5,5,4,5,5,3,5,5,5,1,1,2,4,4,1,1,1,4,3,3,4,4,5,5,5,1,1,1,1,1,1,1,2,2,2,2,1,6,6,3,4,7,7,1,4,1,1,4,0,1,55
4,4,3,4,2,5,5,4,5,4,4,4,4,4,2,5,2,4,5,2,2,3,4,5,2,3,5,4,4,5,2,5,4,5,5,5,3,3,3,2,5,3,4,3,1,4,4,2,1,1,2,3,2,1,3,3,4,3,2,2,3,2,3,2,2,7,3,7,2,5,2,1,3,2,1,5,4,2,1,1,2,2,2,1,56
3,2,2,3,3,4,5,3,4,3,2,4,3,3,4,4,4,4,4,4,2,3,5,5,5,5,4,4,3,3,4,3,3,4,4,4,2,4,4,2,5,5,5,2,1,2,1,2,1,4,1,4,3,2,4,3,4,4,3,2,2,2,3,2,2,5,1,2,2,2,2,6,6,4,5,5,4,1,5,0,2,4,0,1,57
2,2,1,2,2,4,4,2,1,3,2,4,3,3,3,4,4,4,4,4,4,4,3,3,2,3,2,2,2,2,3,3,3,4,3,3,2,4,4,3,5,5,5,1,1,1,1,2,1,1,1,4,5,5,4,4,5,5,4,2,1,1,1,1,1,1,1,5,5,1,1,6,6,5,7,5,5,2,5,0,2,4,0,1,58
2,2,2,2,3,4,4,3,2,3,2,2,2,3,4,4,4,5,5,2,4,4,5,5,5,5,2,3,2,2,2,2,3,3,4,4,2,4,4,4,5,5,5,4,1,2,4,4,2,2,2,5,5,4,5,4,5,5,5,3,3,5,3,3,2,2,2,6,3,3,4,6,6,6,6,6,6,1,3,1,1,4,0,1,59
3,3,4,3,4,5,5,5,1,3,4,4,4,4,2,3,3,3,5,4,4,4,5,5,5,5,4,4,4,4,4,3,3,3,5,5,3,5,5,4,5,5,5,2,3,1,2,3,1,1,2,5,4,4,5,4,4,4,4,1,2,2,2,2,2,3,4,6,2,3,2,5,5,3,3,5,5,2,5,1,1,4,0,1,60
3,2,3,3,2,5,5,5,4,4,3,4,4,4,4,4,4,1,4,2,3,3,4,4,5,4,5,5,4,3,4,5,5,4,1,3,2,2,2,2,4,4,4,1,1,2,3,2,1,1,1,3,5,3,4,2,4,4,4,6,5,5,4,4,4,6,4,4,4,4,2,5,5,2,5,3,3,2,0,0,1,4,0,1,61
4,4,2,5,1,3,4,2,3,4,2,4,4,5,5,4,4,5,5,4,4,3,5,4,5,5,4,4,4,4,4,5,4,5,4,2,3,4,4,4,4,4,3,2,1,1,1,2,2,2,2,4,5,3,4,3,4,3,3,5,3,4,3,2,2,6,6,5,5,5,1,6,6,6,5,5,4,2,5,1,2,4,0,1,62
3,3,2,1,1,1,1,1,2,1,3,4,2,3,2,4,3,5,5,5,5,5,5,5,4,5,1,1,2,1,2,2,2,2,2,2,2,4,4,3,3,5,3,1,1,1,1,3,1,1,1,4,5,4,4,4,4,4,3,2,2,2,2,1,1,5,2,6,3,4,5,6,6,6,6,6,6,2,5,1,1,4,0,1,63
3,2,1,3,4,2,2,2,1,1,4,5,5,3,4,4,5,5,5,5,5,3,5,5,3,5,1,2,1,1,4,4,3,2,4,4,3,4,4,3,5,5,5,2,3,2,1,4,1,1,1,5,5,5,5,4,5,4,5,1,2,7,3,2,2,2,6,2,6,2,2,3,3,1,1,6,6,2,4,0,2,4,0,1,64
2,2,1,3,3,4,3,2,5,4,3,2,3,3,3,4,4,4,3,3,4,4,2,2,2,2,3,4,4,3,3,4,3,4,5,5,3,4,4,2,5,5,5,1,3,2,2,3,1,3,2,4,2,2,4,3,4,4,4,5,4,5,5,4,5,5,2,1,2,2,1,2,2,1,3,6,5,2,2,0,2,3,0,1,65
3,3,2,3,1,3,4,2,3,2,3,3,3,4,3,2,4,4,4,4,3,4,5,5,4,5,2,2,2,2,4,4,3,3,4,4,2,3,3,2,4,5,4,4,2,3,4,2,3,3,5,3,3,3,4,4,4,4,4,2,3,2,2,2,2,4,2,2,6,2,1,6,6,4,5,4,4,2,4,0,2,4,0,1,66
3,2,1,4,4,3,4,4,4,3,5,5,4,5,4,5,4,1,5,5,4,3,5,5,5,5,4,4,3,3,5,2,5,4,3,4,1,3,5,1,2,5,3,1,1,2,3,4,2,3,1,5,4,3,5,4,4,4,3,4,3,3,5,4,4,4,5,7,7,5,2,3,2,6,4,3,3,2,4,0,1,4,0,1,67
4,2,2,3,3,4,4,2,2,4,4,4,2,2,4,2,4,5,5,5,4,5,5,5,5,5,4,5,4,4,3,1,4,5,5,5,4,5,5,3,2,4,3,2,1,1,2,2,1,2,3,4,4,2,4,3,4,4,4,6,5,6,5,2,5,6,6,6,5,5,5,6,6,3,3,5,5,2,5,1,1,4,0,1,68
3,3,2,3,2,2,4,1,2,2,3,4,4,3,3,4,4,4,4,4,5,4,4,4,2,3,2,2,3,2,4,4,4,4,4,3,3,5,5,5,3,5,4,2,1,1,3,3,2,2,2,4,4,5,4,4,4,4,5,2,2,1,2,1,1,4,6,6,6,7,2,6,6,2,5,5,6,2,4,1,1,4,0,1,69
3,2,2,3,3,2,2,1,2,4,2,4,3,4,3,4,2,4,4,4,5,5,5,5,5,5,2,2,2,2,4,4,2,2,2,2,1,4,4,2,2,4,3,1,1,2,2,4,1,1,2,4,5,5,5,4,5,4,3,2,1,2,2,1,1,5,3,6,2,2,2,4,4,4,4,6,6,1,5,1,1,4,0,1,70
1,1,2,2,1,3,2,2,1,2,1,1,3,2,3,2,5,5,5,5,5,4,5,5,5,5,1,1,1,1,3,3,2,2,3,3,2,5,4,3,4,5,4,1,2,1,2,3,1,2,1,5,4,3,4,3,4,5,5,2,2,2,2,1,1,2,2,3,4,2,1,5,6,4,4,6,6,2,5,0,1,4,0,1,71
4,4,4,4,3,4,3,4,4,2,4,4,4,5,2,4,2,4,2,4,2,4,2,4,1,3,5,5,4,1,3,3,3,2,2,2,2,4,4,1,5,3,3,1,2,1,4,4,2,2,2,3,3,3,3,3,3,3,3,5,4,4,4,4,4,6,4,4,4,4,4,2,2,4,4,7,7,1,4,1,2,3,0,1,72
3,2,1,1,2,4,5,2,3,4,3,4,4,4,2,4,5,4,5,4,2,5,4,4,2,5,4,4,3,4,3,4,3,3,3,4,1,4,4,2,4,5,5,1,1,2,3,3,1,2,4,4,5,4,4,4,4,5,4,3,2,3,4,2,2,5,3,5,3,2,3,3,3,6,6,6,6,2,2,0,1,4,0,1,73
4,3,2,3,5,5,5,3,3,5,3,5,5,5,2,4,3,4,5,5,3,4,3,2,1,4,3,4,4,5,5,4,4,5,4,4,4,3,4,3,4,4,4,2,1,2,4,4,1,2,4,4,3,2,4,3,5,4,3,6,5,5,6,5,4,6,4,6,6,5,1,2,3,3,3,5,5,2,4,1,1,4,0,1,74
4,3,3,2,4,5,5,3,2,4,2,5,5,5,3,5,4,5,5,2,3,5,2,4,1,2,3,4,4,4,5,2,5,4,2,4,3,3,3,3,4,5,5,2,2,1,3,2,4,4,4,5,5,3,4,2,3,5,5,4,1,6,2,5,2,6,2,7,4,4,4,4,4,3,3,7,7,1,4,1,2,4,0,1,75
4,3,2,3,1,5,5,3,4,3,5,5,5,5,5,5,3,4,5,5,2,3,5,5,5,5,5,5,5,5,4,4,4,5,3,2,1,4,5,2,4,5,3,1,1,1,3,2,1,1,1,3,3,2,4,3,4,3,3,2,2,5,2,1,1,5,4,7,6,5,1,5,5,3,4,4,4,2,5,0,1,4,0,1,76
