"anonym_id","gender","title","discipline","last_published","academia_length","phd_dissertation"
211,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
212,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
213,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
214,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
215,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
216,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
217,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
218,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
219,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
220,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
221,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last 5 years","More than 10 years",NA
222,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
223,"Man","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","3-4 articles"
224,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
225,"Man","This does not apply to me","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
226,"Man","Post Doc","Non-STEM","In the last year","More than 10 years",NA
228,"Woman","This does not apply to me","Non-STEM","In the last year","More than 10 years",NA
229,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
230,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
231,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","I don't know/ This does not apply to me/ 0 articles"
232,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA
233,"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
234,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
235,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
236,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles"
237,"Woman","Assistant Professor","Non-STEM","This year","More than 10 years",NA
238,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
239,"Man","Assistant Professor","Non-STEM","In the last year","More than 10 years",NA
240,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
241,"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
242,"Man","PhD student","Non-STEM","In the last year","1-5 years","3-4 articles"
243,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
244,"Woman","PhD student","Non-STEM","This year","6-10 years","3-4 articles"
245,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
246,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
247,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
248,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles"
249,"Woman","Post Doc","Non-STEM","This year","6-10 years",NA
250,"Man","Post Doc","Non-STEM","This year","6-10 years",NA
251,"Woman","PhD student","Non-STEM","In the last year","1-5 years","3-4 articles"
252,"Man","Associate Professor","Non-STEM","This year","More than 10 years",NA
253,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
254,"Woman","This does not apply to me","Non-STEM","In the last year","1-5 years",NA
255,"Prefer not to say","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
256,"Man","Associate Professor","Non-STEM","This year","More than 10 years",NA
257,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years",NA
258,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
259,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
260,"Man","Assistant Professor","Non-STEM","This year","1-5 years",NA
261,"Woman","Associate Professor","Non-STEM","This year","6-10 years",NA
262,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
263,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
264,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years",NA
265,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
266,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
267,"Woman","Assistant Professor","Non-STEM","This year","More than 10 years",NA
268,"Man","Post Doc","Non-STEM","This year","1-5 years",NA
269,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
